sourse_link,code,title,text,image,pub_date,author,tags
https://ria.ru/20210107/samara-1592213787.html?rcmd_alg=slotter,1592213787,"В Самаре появились инсталляции, посвященные покорению космоса","САМАРА, 7 янв – РИА Новости. Самару к новогодним праздникам украсили инсталляциями, посвященными покорению космоса, сообщила пресс-служба правительства региона. По информации пресс-службы, в год 60-летия первого полета человека в космос на площади имени Куйбышева в Самаре установлены тематические фотозоны и интерактивные информационные стенды об истории и достижениях отечественной космонавтики. Кроме того, на главной городской елке время от времени появляется изображение старта ракеты-носителя. Возле стадиона ""Самара Арена"" создана большая музейно-выставочная зона под открытым небом, установлена десятиметровая фигура космонавта. Жители и гости города также могут ""прогуляться"" по Солнечной системе и увидеть внушительных размеров макеты планет. Рядом работают космостанции, где можно узнать интересные факты о космосе и планетах, а также и о тех, кто покорял космос и конструировал космические корабли. По данным пресс-службы, украсить Самару в космической тематике поручил губернатор региона Дмитрий Азаров. ""Конечно, каждый школьник в Самаре знает, что именно на нашей ракете-носителе Юрий Алексеевич Гагарин совершил свой первый героический полет. До сих пор в мире 80% пилотируемых запусков осуществляется на ракетах самарской сборки. Так что для нас тема освоения космоса – предмет особой гордости"", - цитирует Азарова пресс-служба. По мнению российского космонавта, Героя РФ, уроженца Самарской области Олега Кононенко, дизайнеры, которые разработали космическую концепцию на пространстве рядом со стадионом ""Самара Арена"", вдохновились исследованиями Вселенной. ""В 2021 году наша страна отмечает 60-летний юбилей первого полета человека в космос. Самара тесно связана с историей освоения космоса, поэтому не удивительно, что эта тема легла в основу концепции новогоднего оформления последней мили стадиона и других городских локаций. Отличная идея, впечатляющая реализация. Космическая аллея с интересными арт-объектами - не только красивое, но и познавательное пространство для жителей Самары"", - приводит слова Коненко пресс-служба.",https://cdn23.img.ria.ru/images/07e5/01/07/1592213996_0:0:1709:1115_1440x900_80_0_1_3e964a8427bc962b7d73f5df2de2e843.jpg?source-sid=not_rian_photo,07.01.2021 10:42,,
https://ria.ru/20210105/snouden-1592041136.html?rcmd_alg=slotter,1592041136,Слуцкий прокомментировал выдвижение Сноудена на Нобелевскую премию,"МОСКВА, 5 янв - РИА Новости. Джулиан Ассанж, Челси Мэннинг и Эдвард Сноуден до сих пор остаются объектами мести властей США, их включение или нет в число номинантов станет тестом на политизацию деятельности Нобелевского комитета, считает глава комитета Госдумы по международным делам Леонид Слуцкий. Ранее лауреат Нобелевской премии мира Мейрид Корриган выдвинула на эту награду Джулиана Ассанжа, Челси Мэннинг и Эдварда Сноудена. ""Каждый по отдельности и все трое достойны премии мира не меньше, чем Барак Обама. Если не больше. Поскольку каждый из них рискнул всем в своей жизни, чтобы показать изнанку так называемой американской демократии для спасения мира. И до сих пор все они остаются объектами мести властей США. Включение или нет Ассанжа, Мэннинг и Сноудена в число номинантов станет тестом на политизацию деятельности Нобелевского комитета"", - сказал Слуцкий РИА Новости.",https://cdn24.img.ria.ru/images/147700/69/1477006949_0:0:2158:1462_1440x900_80_0_1_37641b6ef0d1915a15d0a58102159524.jpg?source-sid=ap_photo,05.01.2021 12:51,,
https://ria.ru/20210107/covid-19-1592211834.html?rcmd_alg=slotter,1592211834,В России ребенок попал в больницу с поражением всех органов после COVID,"МОСКВА, 7 янв — РИА Новости. В Кирове десятилетняя девочка была госпитализирована с поражением всех органов. Об этом главный врач Кировской областной детской клинической больницы Наталья Муратова рассказала пресс-службе регионального правительства. По словам главврача, девочка перенесла коронавирус без симптомов, а затем в ее организме запустилось постковидное формирование иммунного ответа. Развился эндокардит, плевропневмония, перикард. Ее доставили в больницу в тяжелом состоянии. Девочку удалось спасти благодаря слаженной работе целой команды врачей. Опытные и профессиональные специалисты, по мнению Муратовой, — главная ценность кировской больницы. Этот случай стал одним из самых сложных в клинической практике за 2020 год.",https://cdn24.img.ria.ru/images/07e5/01/07/1592211988_0:0:700:467_1440x900_80_0_1_7623d18d5f8c996964b9b0a760c5ea5a.jpg?source-sid=not_rian_photo,07.01.2021 10:26,,
https://ria.ru/20210107/poroshenko-1592237301.html,1592237301,Порошенко эмоционально отреагировал на штурм Капитолия,"МОСКВА, 7 янв — РИА Новости. Экс-президент Украины и лидер партии ""Европейская солидарность"" Петр Порошенко назвал штурм Капитолия в Вашингтоне сторонниками Дональда Трампа вызовом для американской демократии. Депутат Верховной рады также добавил, что он глубоко шокирован случившимся. ""Четкое подтверждение ужасных последствий политической безответственности, насильственной и эгоистичной риторики"", — написал он в Twitter. Он также выразил уверенность, что американский народ ""встанет на защиту демократии, свободы и правопорядка"". ""Украина солидарна с Вами!"" — отметил он. Накануне сторонники действующего президента Дональда Трампа во время демонстрации в Вашингтоне в его поддержку штурмовали здание конгресса, прервав заседание, в ходе которого планировалось утвердить итоги выборов и победу Джо Байдена. Конгрессменов эвакуировали, против протестующих применили слезоточивый газ и светошумовые гранаты. По данным полиции, погибли четыре человека. Сегодня конгресс утвердил победу Байдена на президентских выборах. Это решение окончательно закрывает конституционные возможности для оспаривания результатов голосования. Трамп заявил, что не согласен с результатами выборов, но добавил, что 20 января произойдет упорядоченная передача власти.",https://cdn23.img.ria.ru/images/07e5/01/07/1592207990_0:0:3072:2048_1440x900_80_1_1_322b6e0e40b8d853ed3efb7f14b33a8e.jpg?source-sid=rian_photo,07.01.2021 14:32,,
https://ria.ru/20210107/napitki-1592216165.html,1592216165,"Диетологи рассказали, что нужно пить по утрам","МОСКВА, 7 янв  — РИА Новости. Опрошенные РИА Новости диетологи разобрали по ингредиентам самые популярные зимние напитки и определили, что нельзя пить сидя на диване, почему какао можно употреблять вместо кофе хоть каждый день и взрослым, и детям и почему лучше варить безалкогольный глинтвейн из гранатового сока. С началом похолодания и в период зимних каникул в меню всех заведений появляются напитки для новогоднего настроения. Среди них: глинтвейн, какао, горячий шоколад и облепиховый чай. РИА Новости разобрали с диетологами каждый из этих напитков по составу, чтобы определить влияние их ингредиентов на организм. Безалкогольный вариант глинтвейна готовят на основе сока, чаще всего вишневого (взамен красного вина) или виноградного (взамен белого), с добавлением нарезанных фруктов: апельсинов, яблок, лимона и пряностей: мускатного ореха, гвоздики, корицы, имбиря. Как отмечает диетолог Маргарита Королева, глинтвейн можно готовить из любого сока, все зависит от вкусовых предпочтений и от индивидуальных особенностей, надо учитывать, что все соки имеют разный набор полезных компонентов и сахара. ""Для людей, которые имеют проблемы с углеводным обменом, виноградный сок, скорее, не подойдет, потому что он содержит самое большое количество сахара. Более низкий гликемический индекс у вишневого сока, а гранатовый сок — великолепный выбор, он позволит получить и витамины, и минералы, и антиоксиданты, и биологически активные компоненты, которые в горячем виде позволят человеку согреться и взбодриться"", — сказала Королева. Но, по мнению диетологов, самым главным и полезным, что есть в составе глинтвейна, остаются специи. Он добавил, что остальные ингредиенты — фрукты, ягоды играют уже меньшую роль, они, скорее, добавляют вкус, чем приносят какую-то пользу. Как правило, для приготовления глинтвейна используют сухое вино с невысоким составом спирта — до 13%.  Как отметила Королева, напиток получается невысокой калорийности, около 150 килокалорий, но есть одно ""но"": алкоголь в составе глинтвейна повышает аппетит, поэтому есть риск употребить лишнюю пищу. Молоко, какао-порошок и при желании сахар — вот и весь рецепт какао, при этом опрошенные РИА Новости диетологи сходятся во мнении, что этот простой напиток несет в себе очень много витаминов и полезных компонентов. ""По составу в этом напитке содержатся витамины, микроэлементы, минеральные вещества, там очень много  антиоксидантов. В основном витамины: А, Е, витамин К, также витамины группы В, которые играют большое значение в обмене веществ, нормализации водно-солевого баланса, обладают иммуностимулирующим эффектом"", — рассказала Королева. Также, по ее словам, в составе и кальций, и фосфор, что важно для детского организма, они позволяют правильно строить костную массу. Помимо этого, содержащийся в какао калий полезен для сосудистой системы, а в молоке достаточно жиров и микроэлементов для роста и развития юного организма. А еще в нем меньше кофеина, чем в чае и кофе, поэтому его можно пить детям, начиная с трех лет, и людям с проблемами с давлением и сердечными ритмами. Также, как отмечает диетолог Королева, благодаря какао-порошку регулируется тонус сосудистой стенки и в то же время повышается общий тонус организма. ""Повышается общая трудоспособность, настроение, улучшается память, хорошо концентрируется внимание, и на какой-то промежуток времени это еще и сытно к тому же"", — рассказала она. При этом диетологи единогласно предупреждают, что все эти полезные свойства есть только в натуральном какао-порошке. А неорганический, сделанный на производстве, и непонятно откуда какао-порошок, может, наоборот, навредить и вызвать аллергию. А вот к его ""собрату"" — горячему шоколаду — Обложко советует относиться с осторожностью. В составе этого напитка ягоды облепихи, горячая вода или чай и специи, что, по мнению диетологов, обеспечит заряд витаминов и повысит иммунитет, а это особенно необходимо зимой. Помимо этого, облепиха богата витамином А, также в ее составе бета-каротин и жирорастворимые витамины: Е и К. ""Этот напиток с добавлением пряностей и специй оставит яркие вкусовые впечатления, тонизирует и даже позволит насытиться. Потому что он получается достаточно плотным — с одной стороны, напиток, а с дрогой стороны — как десерт"", — отметила диетолог Королева.",https://cdn24.img.ria.ru/images/80006/75/800067515_0:0:1200:800_1440x900_80_1_1_8a20eaae36f99db5fa738dd973a9b9d9.jpg?source-sid=rian_photo,07.01.2021 11:10,,
https://ria.ru/20210107/ubiystvo-1592239860.html,1592239860,Россиянка убила новорожденную внучку и выбросила в мусор,"МОСКВА, 7 янв — РИА Новости. В Пермском крае женщину подозревают в убийстве собственной внучки. Об этом сообщается на сайте регионального Следственного управления СК. Тело младенца с признаками насильственной смерти нашли 2 января в городе Чернушке. По данным следствия, в конце декабря 59-женщина убила новорожденную внучку, которую дома родила ее 37-летняя дочь. ""Скрывая следы преступления, подозреваемая положила тело ребенка в коробку и выбросила в контейнер для мусора"", — отмечается на сайте. О случившемся в органы сообщили соседи. Сейчас женщина дает признательные показания. Против нее возбуждено уголовное дело по статье ""Убийство малолетнего"".",https://cdn25.img.ria.ru/images/148345/75/1483457537_0:0:3077:2048_1440x900_80_1_1_7ecec8be4648fe8f4e45145f93a92d45.jpg?source-sid=rian_photo,07.01.2021 14:55,,
https://ria.ru/20210107/koronavirus-1592232982.html,1592232982,Новый вариант коронавируса обнаружили в 22 странах Европы,"ЦЮРИХ, 7 янв — РИА Новости. Новый штамм коронавируса обнаружен в 22 странах Европы, сообщил в четверг глава Европейского регионального бюро Всемирной организации здравоохранения (ВОЗ) Ханс Клюге. ""Как и все вирусы, распространяющийся вирус COVID-19 со временем изменился. Я понимаю озабоченность по поводу возможного воздействия вызывающего тревогу варианта SARS-CoV-2 (VOC). Двадцать две страны Европейского региона обнаружили этот новый вариант"", — сказал Клюге в ходе онлайн-брифинга. Он отметил, что новый вариант распространяется быстрее, хотя и не сказывается на тяжести заболевания. Клюге также сказал, что новая мутация распространяется во всех возрастных группах, и отметил, что дети не относятся к группе повышенного риска. В середине декабря стало известно об обнаружении в Великобритании новой мутации коронавируса SARS-CoV-2. Позже консультационный совет по новым и возникающим респираторным вирусным угрозам Британии подтвердил, что вариант коронавируса, выявленный в стране, распространяется с большей скоростью и требует от населения еще большей осторожности. Хотя новый вариант вируса, по предварительным оценкам, может быть на 70 процентов заразней обычного, ничто пока не говорит о том, что он более опасен с точки зрения смертности или госпитализации. Последние данные о ситуации с COVID-19 в России и мире представлены на портале стопкоронавирус.рф.",https://cdn23.img.ria.ru/images/07e4/0c/0f/1589388898_0:0:3278:2048_1440x900_80_1_1_4f6e6154e6678dff7966791580711be8.jpg?source-sid=rian_photo,07.01.2021 13:56,,
https://rsport.ria.ru/20210107/ubiystvo-1592235529.html,1592235529,В Дагестане в массовой драке погиб боец ММА,"МОСКВА, 7 янв — РИА Новости. В махачкалинском поселке Тарки в массовой драке погиб боец смешанного стиля Керима Хайруллаева, сообщает ""АиФ Дагестан"". Известно, что спортсмен погиб от ножевого ранения. Подозреваемый в убийстве задержан. По факту убийства возбуждено уголовное дело. ""По факту убийства Керима Хайруллаева в поселке Тарки города Махачкалы 6 января в 21:00 следственным управлением СК России по Дагестану возбуждено уголовное дело по с. 1 ст. 105 УК РФ (убийство). По подозрению в совершении данного преступления задержан 19-летний житель Махачкалы"", - сообщил старший помощник руководителя следственного управления по региону Расул Темирбеков. Помимо этого, сотрудники правоохранительных органов также задержали около десяти участников драки.",https://cdn25.img.ria.ru/images/07e4/0a/02/1578127093_0:0:3077:2048_1440x900_80_1_1_fcea5c23ec4fb1af94ae481f389679eb.jpg?source-sid=rian_photo,07.01.2021 14:18,,
https://ria.ru/20210107/volk-1592199908.html,1592199908,"""Настоящий русский"": британцев восхитил задушивший волка фермер из России","МОСКВА, 7 янв — РИА Новости. Британский таблоид The Daily Mail опубликовал материал об ""отважном"" российском фермере из Еврейской автономной области, который сумел задушить напавшую на него волчицу голыми руками. Публикация вызвала активный отклик в комментариях. По данным местных СМИ, инцидент произошел в селе Новотроицкое Ленинского района ЕАО. Волчица загрызла двух собак, ранила лошадь и напала на мужчину, который задушил ее руками. Британских читателей впечатлил поступок россиянина. ""Настоящий русский, не так ли?"" – отметил пользователь Noseyrntu. ""Вот парень, которого я не хотел бы рассердить"", – написал Mabawsa Ritchie. ""А тем временем наши молодые люди наносят искусственный загар, рисуют брови и поджимают накрашенные ботоксом губы"", – заметила sleepyxxangel. ""Приятно видеть, что настоящие мужчины все еще существуют"", – добавил Kirby Lonsdale. При этом некоторые комментаторы пожалели животное. ""Бедный волк. Наверное, он был голоден"", – предположил hearmeout. ""Мне жаль его собак, но также жаль и волка"", – написал The Murphster1.",https://cdn21.img.ria.ru/images/151201/98/1512019864_0:0:4029:2686_1440x900_80_0_1_f432ba21d778c2a81bfbc768f5d5aa0d.jpg?source-sid=depositphotos,07.01.2021 06:50,,
https://ria.ru/20210107/moshenniki-1592203437.html,1592203437,Мошенники придумали новую схему обмана по телефону,"МОСКВА, 7 янв — РИА Новости. Мошенники придумали новую схему обмана россиян: теперь они звонят с незнакомых номеров и скидывают трубку, чтобы обойти системы идентификации и заставить потенциальную жертву самостоятельно связаться с ними, рассказал РИА Новости ведущий эксперт ""Лаборатории Касперского"" Сергей Голованов. Согласно статистике Kaspersky Who Calls, в России в этом году среди всех входящих с неизвестных номеров доля спама составила 63%, а доля звонков с подозрением на мошенничество — 5,9%. При этом злоумышленники активно пользовались технологией подмены номера. Чаще всего они указывали телефоны финансовых организаций, государственных учреждений или юридических лиц. По словам Голованова, такие системы изначально анализировали только входящие звонки. ""А исходящие — нет, потому что никто не думал, что люди сами начнут звонить мошенникам. Но злоумышленники воспользовались этой возможностью, теперь они звонят и бросают трубку. Если человек перезванивает сам, злоумышленники начинают использовать традиционные методы социальной инженерии: представляются сотрудниками службы безопасности банка, пытаются выведать конфиденциальные данные пользователя или убедить перевести деньги на счета мошенников"", — сообщил он. Чаще всего, по его словам, злоумышленники звонят через пулы телефонных номеров, которые относятся к интернет-телефонии. Подмена номера позволяет скрыть местоположение, настоящий телефонный номер звонящего. ""Злоумышленники могут использовать и обычные сим-карты, но в этом случае сотовые операторы их могут оперативно заблокировать"", — отметил он.",https://cdn23.img.ria.ru/images/150636/77/1506367726_0:0:3008:2000_1440x900_80_0_1_ee75bc5583b87e3798d72efacfcd945e.jpg?source-sid=Fotolia,07.01.2021 08:13,,
https://ria.ru/20210107/vzryv-1592218566.html,1592218566,Глава Народной милиции ЛНР пострадал при взрыве в жилом доме,"ЛУГАНСК, 7 янв — РИА Новости. Начальник управления Народной милиции самопровозглашенной Луганской народной республики Ян Лещенко пострадал при взрыве в квартире жилого дома в Луганске, заявил РИА Новости военный эксперт, бывший официальный представитель оборонного ведомства республики Андрей Марочко. Ранее сообщалось о взрыве в квартире многоквартирного жилого дома в Луганске. По предварительной версии, причиной взрыва могла стать утечка газа. В социальных сетях прошла информация о том, что в результате взрыва пострадал начальник управления Народной милиции ЛНР Ян Лещенко. Пользователи соцсетей обсуждают различные причины произошедшего: от утечки газа до подрыва минно-взрывного устройства.",https://cdn24.img.ria.ru/images/07e5/01/07/1592231208_0:0:2324:1220_1440x900_80_0_1_4935598f4b70c3786b2d6e926c038029.jpg?source-sid=not_rian_photo,07.01.2021 11:22,,
